ID,Input_Text,Entity_Classes,Relationships,Triplets,Source_Sentences,Predicted_Entity_Classes,Predicted_Relationships,Predicted_Triplets,Predicted_Source_Sentences,Entity_Classes_Accuracy,Relationships_Accuracy,Triplets_Accuracy,Position_Accuracy,Matched_Entity_Pairs,Matched_Relationship_Pairs,Matched_Triplet_Pairs
1,The Falcon 9 is a reusable rocket designed by SpaceX. It utilizes Merlin engines to achieve orbit. These engines burn a combination of liquid oxygen and rocket-grade kerosene. SpaceX successfully landed the first stage of the rocket in 2015.,Launch Vehicle | Aerospace Manufacturer | Rocket Engine | Oxidizer | Propellant | Rocket Stage,designed by | utilizes | burns | landed,"(Launch Vehicle, designed by, Aerospace Manufacturer) | (Launch Vehicle, utilizes, Rocket Engine) | (Rocket Engine, burns, Oxidizer) | (Rocket Engine, burns, Propellant) | (Aerospace Manufacturer, landed, Rocket Stage)",The Falcon 9 is a reusable rocket designed by SpaceX. | It utilizes Merlin engines to achieve orbit. | These engines burn a combination of liquid oxygen and rocket-grade kerosene. | These engines burn a combination of liquid oxygen and rocket-grade kerosene. | SpaceX successfully landed the first stage of the rocket in 2015.,Vehicle | Rocket | Engine | PropulsionSystem | Fuel | LiquidFuel | Corporation | Organization,isA | utilizes | hasComponent | burns | consistsOf | performsAction | designed_by,"(Rocket, isA, Vehicle) | (Rocket, designed_by, Corporation) | (Rocket, utilizes, Engine) | (Engine, burns, Fuel) | (Fuel, isA, LiquidFuel) | (Organization, performsAction, Landing)",The Falcon 9 is a reusable rocket designed by SpaceX. | The Falcon 9 is a reusable rocket designed by SpaceX. | It utilizes Merlin engines to achieve orbit. | These engines burn a combination of liquid oxygen and rocket-grade kerosene. | These engines burn a combination of liquid oxygen and rocket-grade kerosene. | SpaceX successfully landed the first stage of the rocket in 2015.,0.3333333333333333,0.75,0.6,1.0,(GT: Rocket Engine -> PR: Rocket) | (GT: Rocket Stage -> PR: Rocket),(GT: designed by -> PR: designed_by) | (GT: utilizes -> PR: utilizes) | (GT: burns -> PR: burns),"(GT: (Launch Vehicle, utilizes, Rocket Engine) -> PR: (Rocket, utilizes, Engine)) | (GT: (Rocket Engine, burns, Oxidizer) -> PR: (Engine, burns, Fuel)) | (GT: (Rocket Engine, burns, Propellant) -> PR: (Engine, burns, Fuel))"
2,"The human heart is a muscular organ that pumps blood through the circulatory system. It consists of four chambers, including the left ventricle. The left ventricle pushes oxygenated blood into the aorta. This process ensures that vital nutrients reach the body's tissues.",Organ | Bodily Fluid | Anatomical System | Heart Chamber | Bodily Fluid (Oxygenated) | Artery | Biological Tissue,pumps | part of | pushes | supplies,"(Organ, pumps, Bodily Fluid) | (Bodily Fluid, flows through, Anatomical System) | (Heart Chamber, part of, Organ) | (Heart Chamber, pushes, Bodily Fluid (Oxygenated)) | (Bodily Fluid (Oxygenated), enters, Artery)","The human heart is a muscular organ that pumps blood through the circulatory system. | The human heart is a muscular organ that pumps blood through the circulatory system. | It consists of four chambers, including the left ventricle. | The left ventricle pushes oxygenated blood into the aorta. | The left ventricle pushes oxygenated blood into the aorta.",Organ | Muscular Organ | Circulatory System | Blood | Chamber | Vessel | Tissue | Nutrient,HAS_PART | PUMPS | PART_OF | CARRIES | SUPPLIES | FLOWS_THROUGH | IS_MADE_OF,"(Muscular Organ, PUMPS, Blood) | (Muscular Organ, PART_OF, Circulatory System) | (Muscular Organ, HAS_PART, Chamber) | (Chamber, PART_OF, Circulatory System) | (Blood, SUPPLIES, Tissue) | (Blood, FLOWS_THROUGH, Vessel) | (Muscular Organ, IS_MADE_OF, Tissue)","The human heart is a muscular organ that pumps blood through the circulatory system. | The human heart is a muscular organ that pumps blood through the circulatory system. | It consists of four chambers, including the left ventricle. | It consists of four chambers, including the left ventricle. | This process ensures that vital nutrients reach the body’s tissues. | The left ventricle pushes oxygenated blood into the aorta. | The human heart is a muscular organ that pumps blood through the circulatory system.",0.42857142857142855,0.75,0.4,1.0,(GT: Organ -> PR: Organ) | (GT: Heart Chamber -> PR: Chamber) | (GT: Biological Tissue -> PR: Tissue),(GT: pumps -> PR: PUMPS) | (GT: part of -> PR: PART_OF) | (GT: supplies -> PR: SUPPLIES),"(GT: (Organ, pumps, Bodily Fluid) -> PR: (Muscular Organ, PUMPS, Blood)) | (GT: (Heart Chamber, part of, Organ) -> PR: (Muscular Organ, HAS_PART, Chamber))"
3,"Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. This acquisition allowed Microsoft to integrate professional networking features into its cloud services. Satya Nadella oversaw the transition as the CEO of Microsoft. Reid Hoffman, the co-founder of LinkedIn, joined the Microsoft board following the deal.",Technology Company | Social Networking Service | Chief Executive Officer | Entrepreneur | Board of Directors,acquired | CEO of | co-founder of | joined,"(Technology Company, acquired, Social Networking Service) | (Chief Executive Officer, CEO of, Technology Company) | (Entrepreneur, co-founder of, Social Networking Service) | (Entrepreneur, joined, Board of Directors)","Microsoft Corporation officially acquired LinkedIn in 2016. | Satya Nadella oversaw the transition as the CEO of Microsoft. | Reid Hoffman, the co-founder of LinkedIn, joined the Microsoft board. | Reid Hoffman, the co-founder of LinkedIn, joined the Microsoft board.",Organization | Technology Company | Network Platform | Executive | Financial Transaction | Cloud Service,Is a | Performed | Was Acquired By | Occurred During | Represents Value Of | Provided | Held Position As | Associated With,"(Technology Company, Is a, Organization) | (Technology Company, Performed, Financial Transaction) | (Network Platform, Is a, Organization) | (Network Platform, Was Acquired By, Technology Company) | (Financial Transaction, Occurred During, Organization) | (Financial Transaction, Represents Value Of, Organization) | (Technology Company, Provided, Cloud Service) | (Executive, Held Position As, Technology Company) | (Executive, Associated With, Technology Company)","Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | Microsoft Corporation officially acquired LinkedIn in 2016 for $26.2 billion. | This acquisition allowed Microsoft to integrate professional networking features into its cloud services. | Satya Nadella oversaw the transition as the CEO of Microsoft. | Reid Hoffman, the co-founder of LinkedIn, joined the Microsoft board following the deal.",0.4,0.25,0.25,0.0,(GT: Technology Company -> PR: Technology Company) | (GT: Chief Executive Officer -> PR: Executive),(GT: acquired -> PR: Was Acquired By),"(GT: (Chief Executive Officer, CEO of, Technology Company) -> PR: (Executive, Associated With, Technology Company))"
4,Photosynthesis is a process used by plants to convert light energy into chemical energy. Chlorophyll captures the sunlight within the chloroplasts. This energy then transforms carbon dioxide and water into glucose. Oxygen is released as a byproduct into the atmosphere.,Metabolic Pathway | Organism | Energy Form (Light) | Energy Form (Chemical) | Pigment | Organelle | Chemical Compound | Chemical Compound | Carbohydrate | Chemical Element,used by | captures | located in | transforms | releases,"(Metabolic Pathway, used by, Organism) | (Pigment, captures, Energy Form (Light)) | (Pigment, located in, Organelle) | (Energy Form (Light), transforms, Chemical Compound) | (Metabolic Pathway, releases, Chemical Element)",Photosynthesis is a process used by plants to convert light energy into chemical energy. | Chlorophyll captures the sunlight within the chloroplasts. | Chlorophyll captures the sunlight within the chloroplasts. | This energy then transforms carbon dioxide and water into glucose. | Oxygen is released as a byproduct into the atmosphere.,Process | Organism | Energy | Light | Cellular Component | Substance | Atmosphere,used by | convert | captures | transforms | released as,"(Process, used by, Organism) | (Energy, convert, Energy) | (Light, captures, Cellular Component) | (Substance, transforms, Substance) | (Substance, released as, Atmosphere)",Photosynthesis is a process used by plants to convert light energy into chemical energy. | Photosynthesis is a process used by plants to convert light energy into chemical energy. | Chlorophyll captures the sunlight within the chloroplasts. | This energy then transforms carbon dioxide and water into glucose. | Oxygen is released as a byproduct into the atmosphere.,0.1,0.6,0.0,,(GT: Organism -> PR: Organism),(GT: used by -> PR: used by) | (GT: captures -> PR: captures) | (GT: transforms -> PR: transforms),
5,A microservices architecture divides an application into a collection of loosely coupled services. These services communicate over a network using lightweight protocols like HTTP. Developers deploy each service independently to improve scalability. Kubernetes often manages these containerized services in cloud environments.,Software Architectural Style | Software Application | Software Service | Communication Protocol | Software Engineer | Container Orchestration System,divides | communicate via | deploy | manages,"(Software Architectural Style, divides, Software Application) | (Software Service, communicate via, Communication Protocol) | (Software Engineer, deploy, Software Service) | (Container Orchestration System, manages, Software Service)",A microservices architecture divides an application into a collection of loosely coupled services. | These services communicate over a network using lightweight protocols like HTTP. | Developers deploy each service independently to improve scalability. | Kubernetes often manages these containerized services.,Application | Architecture | Service | Network | Protocol | Deployment | Scalability | Container | Environment | Management System,divides | composes | communicates_over | uses | manages | operates_in | improves,"(Application, divides, Architecture) | (Architecture, composes, Service) | (Service, communicates_over, Network) | (Service, uses, Protocol) | (Deployment, improves, Scalability) | (Management System, manages, Container) | (Container, operates_in, Environment)",A microservices architecture divides an application into a collection of loosely coupled services. | A microservices architecture divides an application into a collection of loosely coupled services. | These services communicate over a network using lightweight protocols like HTTP. | These services communicate over a network using lightweight protocols like HTTP. | Developers deploy each service independently to improve scalability. | Kubernetes often manages these containerized services in cloud environments. | Kubernetes often manages these containerized services in cloud environments.,0.3333333333333333,0.5,0.75,0.6666666666666666,(GT: Software Application -> PR: Application) | (GT: Communication Protocol -> PR: Protocol),(GT: divides -> PR: divides) | (GT: manages -> PR: manages),"(GT: (Software Architectural Style, divides, Software Application) -> PR: (Application, divides, Architecture)) | (GT: (Software Service, communicate via, Communication Protocol) -> PR: (Service, uses, Protocol)) | (GT: (Container Orchestration System, manages, Software Service) -> PR: (Management System, manages, Container))"
6,"The Great Pyramid of Giza was built for the Pharaoh Khufu. It remained the tallest man-made structure in the world for over 3,800 years. Hemiunu is believed to be the architect who designed the monument. The structure consists of roughly 2.3 million stone blocks.",Monument | Monarch | Architect | Building Material,built for | designed by | consists of,"(Monument, built for, Monarch) | (Architect, designed by, Monument) | (Monument, consists of, Building Material)",The Great Pyramid of Giza was built for the Pharaoh Khufu. | Hemiunu is believed to be the architect who designed the monument. | The structure consists of roughly 2.3 million stone blocks.,Structure | Monument | Pharaoh | Architect | Material | TimePeriod,was built for | consists of | has duration | was designed by | designed | is used in | ruled during,"(Monument, was built for, Pharaoh) | (Structure, consists of, Material) | (Monument, was designed by, Architect) | (Architect, designed, Structure)",The Great Pyramid of Giza was built for the Pharaoh Khufu. | The structure consists of roughly 2.3 million stone blocks. | Hemiunu is believed to be the architect who designed the monument. | Hemiunu is believed to be the architect who designed the monument.,0.5,1.0,1.0,0.6666666666666666,(GT: Monument -> PR: Monument) | (GT: Architect -> PR: Architect),(GT: built for -> PR: was built for) | (GT: designed by -> PR: was designed by) | (GT: consists of -> PR: consists of),"(GT: (Monument, built for, Monarch) -> PR: (Monument, was built for, Pharaoh)) | (GT: (Architect, designed by, Monument) -> PR: (Monument, was designed by, Architect)) | (GT: (Monument, consists of, Building Material) -> PR: (Monument, was designed by, Architect))"
7,Type 1 diabetes occurs when the pancreas produces little or no insulin. Insulin is a hormone required to allow sugar to enter cells to produce energy. Patients manage the condition with daily insulin injections. This treatment prevents the buildup of glucose in the bloodstream.,Autoimmune Disease | Gland | Hormone | Carbohydrate | Biological Cell | Patient | Simple Sugar,occurs when | produces | enters | manage with | prevents,"(Autoimmune Disease, occurs when, Gland produces no Hormone) | (Hormone, allows, Carbohydrate) | (Carbohydrate, enters, Biological Cell) | (Patient, manage, Autoimmune Disease) | (Hormone Injection, prevents, Simple Sugar buildup)",Type 1 diabetes occurs when the pancreas produces little or no insulin. | Insulin is a hormone required to allow sugar to enter cells to produce energy. | Insulin is a hormone required to allow sugar to enter cells to produce energy. | Patients manage the condition with daily insulin injections. | This treatment prevents the buildup of glucose in the bloodstream.,Disease | Hormone | Organ | Cell | Treatment | BiologicalProcess | Measurement,affects | requires | produced by | regulates | affected by | targets | prevents | involves,"(Disease, affects, Organ) | (Disease, requires, Hormone) | (Hormone, produced by, Organ) | (Hormone, regulates, BiologicalProcess) | (Cell, affected by, BiologicalProcess) | (Treatment, targets, Disease) | (Treatment, prevents, BiologicalProcess) | (BiologicalProcess, involves, Measurement)",Type 1 diabetes occurs when the pancreas produces little or no insulin. | Type 1 diabetes occurs when the pancreas produces little or no insulin. | Type 1 diabetes occurs when the pancreas produces little or no insulin. | Insulin is a hormone required to allow sugar to enter cells to produce energy. | Insulin is a hormone required to allow sugar to enter cells to produce energy. | Patients manage the condition with daily insulin injections. | This treatment prevents the buildup of glucose in the bloodstream. | This treatment prevents the buildup of glucose in the bloodstream.,0.2857142857142857,0.4,0.0,,(GT: Hormone -> PR: Hormone) | (GT: Biological Cell -> PR: Cell),(GT: produces -> PR: produced by) | (GT: prevents -> PR: prevents),
8,Albert Einstein developed the theory of general relativity in 1915. The theory describes the gravitational attraction between masses as a result of the warping of spacetime. Large masses like the Sun curve the fabric of the universe. This curvature dictates the motion of planets in their orbits.,Physicist | Scientific Theory | Physical Object | Physical Concept (Spacetime) | Star | Celestial Body,developed | describes | curve | dictates,"(Physicist, developed, Scientific Theory) | (Scientific Theory, describes, Gravitational Attraction) | (Star, curve, Physical Concept (Spacetime)) | (Curvature, dictates, Motion of Celestial Body)",Albert Einstein developed the theory of general relativity in 1915. | The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | Large masses like the Sun curve the fabric of the universe. | This curvature dictates the motion of planets in their orbits.,Theory | ScientificConcept | PhysicalPhenomenon | Mass | Spacetime | GravitationalAttraction | Motion | Orbit,describes | relates to | is a | experiences | causes | is warped by | dictates | is influenced by,"(Theory, describes, ScientificConcept) | (Theory, relates to, PhysicalPhenomenon) | (ScientificConcept, is a, PhysicalPhenomenon) | (Mass, experiences, GravitationalAttraction) | (Mass, causes, Spacetime) | (Spacetime, is warped by, Mass) | (Spacetime, dictates, Motion) | (Motion, is influenced by, Orbit) | (Orbit, is influenced by, Spacetime)",The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | Large masses like the Sun curve the fabric of the universe. | The theory describes the gravitational attraction between masses as a result of the warping of spacetime. | This curvature dictates the motion of planets in their orbits. | This curvature dictates the motion of planets in their orbits. | This curvature dictates the motion of planets in their orbits.,0.16666666666666666,0.5,0.0,,(GT: Scientific Theory -> PR: Theory),(GT: describes -> PR: describes) | (GT: dictates -> PR: dictates),
9,"The Amazon Rainforest produces a significant portion of the Earth's oxygen. It spans across several South American countries, including Brazil and Peru. Thousands of unique animal species inhabit this dense tropical ecosystem. Deforestation currently threatens the biodiversity of the region.",Biome (Rainforest) | Chemical Element | Country | Country | Animal Species | Environmental Process | Biological Concept,produces | spans across | inhabit | threatens,"(Biome (Rainforest), produces, Chemical Element) | (Biome (Rainforest), spans across, Country) | (Animal Species, inhabit, Biome (Rainforest)) | (Environmental Process, threatens, Biological Concept)","The Amazon Rainforest produces a significant portion of the Earth's oxygen. | It spans across several South American countries, including Brazil and Peru. | Thousands of unique animal species inhabit this dense tropical ecosystem. | Deforestation currently threatens the biodiversity of the region.",Ecosystem | GeographicRegion | Country | Species | EnvironmentalThreat | Biodiversity | Resource,Located In | Includes | Contains | Part Of | Faces | Affects | Produces,"(Ecosystem, Located In, GeographicRegion) | (GeographicRegion, Includes, Country) | (Ecosystem, Contains, Species) | (Species, Part Of, Biodiversity) | (EnvironmentalThreat, Affects, Biodiversity) | (Ecosystem, Produces, Resource)","Thousands of unique animal species inhabit this dense tropical ecosystem. | It spans across several South American countries, including Brazil and Peru. | Thousands of unique animal species inhabit this dense tropical ecosystem. | Deforestation currently threatens the biodiversity of the region. | Deforestation currently threatens the biodiversity of the region. | The Amazon Rainforest produces a significant portion of the Earth's oxygen.",0.42857142857142855,0.25,0.25,0.0,(GT: Country -> PR: Country) | (GT: Country -> PR: Country) | (GT: Animal Species -> PR: Species),(GT: produces -> PR: Produces),"(GT: (Animal Species, inhabit, Biome (Rainforest)) -> PR: (Species, Part Of, Biodiversity))"
10,Blockchain technology serves as the foundation for decentralized cryptocurrencies like Bitcoin. A block contains a cryptographic hash of the previous block and transaction data. Miners validate these transactions to ensure network security. This process creates an immutable ledger that prevents double-spending.,Distributed Ledger Technology | Cryptocurrency | Data Structure | Algorithm | Network Participant | Record,foundation for | contains | validate | creates,"(Distributed Ledger Technology, foundation for, Cryptocurrency) | (Data Structure, contains, Algorithm) | (Network Participant, validate, Transactions) | (Blockchain Process, creates, Record)",Blockchain technology serves as the foundation for decentralized cryptocurrencies like Bitcoin. | A block contains a cryptographic hash of the previous block and transaction data. | Miners validate these transactions to ensure network security. | This process creates an immutable ledger that prevents double-spending.,Technology | Cryptocurrency | Blockchain | Transaction | Block | Network | Security | Ledger,Foundation For | Contains | Has Hash | Validated By | Ensure | Created By | Is,"(Blockchain, Foundation For, Cryptocurrency) | (Block, Contains, Transaction) | (Block, Has Hash, Block) | (Transaction, Validated By, Network) | (Network, Ensure, Security) | (Ledger, Created By, Transaction) | (Ledger, Is, Security)",Blockchain technology serves as the foundation for decentralized cryptocurrencies like Bitcoin. | A block contains a cryptographic hash of the previous block and transaction data. | A block contains a cryptographic hash of the previous block and transaction data. | Miners validate these transactions to ensure network security. | Miners validate these transactions to ensure network security. | This process creates an immutable ledger that prevents double-spending. | This process creates an immutable ledger that prevents double-spending.,0.16666666666666666,0.75,0.5,1.0,(GT: Cryptocurrency -> PR: Cryptocurrency),(GT: foundation for -> PR: Foundation For) | (GT: contains -> PR: Contains) | (GT: validate -> PR: Validated By),"(GT: (Distributed Ledger Technology, foundation for, Cryptocurrency) -> PR: (Blockchain, Foundation For, Cryptocurrency)) | (GT: (Network Participant, validate, Transactions) -> PR: (Transaction, Validated By, Network))"
